sex,row_number,liters_drunk,drink,check_number,label,age_adult,age_child,age_elderly,is_alcoholic,session_day,session_evening,session_morning
0,65,4.0,bugbeer,1652,1,1,0,0,1,1,0,0
1,0,1.0,cola,830,0,1,0,0,0,1,0,0
0,77,3.0,water,4520,1,0,1,0,0,0,1,0
0,48,3.0,bugbeer,4408,0,0,0,1,1,1,0,0
1,83,5.0,water,8163,1,0,1,0,0,1,0,0
0,87,2.0,bugbeer,745,1,1,0,0,1,0,0,1
0,7,2.0,cola,4800,1,0,1,0,0,1,0,0
1,8,0.0,water,9859,1,1,0,0,0,0,1,0
1,16,2.0,bugbeer,6912,0,1,0,0,1,1,0,0
0,44,4.0,cola,937,0,1,0,0,0,0,0,1
1,93,1.0,cola,9303,0,1,0,0,0,0,0,1
0,9,5.0,strong beer,2367,1,1,0,0,1,0,0,1
0,9,0.0,water,7185,1,0,0,1,0,0,0,1
1,30,5.0,fanta,2546,1,1,0,0,0,0,1,0
0,17,0.0,cola,2193,0,0,0,1,0,0,1,0
1,98,2.47,cola,1411,1,0,0,1,0,0,1,0
0,77,4.0,cola,907,0,0,0,1,0,0,0,1
1,24,0.0,strong beer,6615,1,0,0,1,1,0,0,1
0,41,5.0,fanta,4945,1,0,1,0,0,0,0,1
0,91,1.0,fanta,9076,0,0,0,1,0,1,0,0
0,12,0.0,beerbeer,3502,0,1,0,0,1,1,0,0
1,82,4.0,beerbeer,5950,1,0,0,1,1,0,0,1
0,94,5.0,bugbeer,5689,1,0,0,1,1,0,1,0
0,59,1.0,cola,2048,0,0,0,1,0,1,0,0
0,23,4.0,strong beer,8392,1,1,0,0,1,0,1,0
1,70,2.47,water,4303,0,1,0,0,0,0,1,0
1,2,1.0,beerbeer,2561,0,1,0,0,1,0,0,1
0,43,2.0,bugbeer,7009,1,0,0,1,1,0,1,0
0,81,5.0,water,8532,0,0,0,1,0,0,1,0
0,86,3.0,water,9526,0,0,1,0,0,0,0,1
0,64,0.0,water,3133,1,0,0,1,0,0,0,1
0,20,0.0,strong beer,3653,1,0,0,1,1,0,0,1
0,4,4.0,cola,4122,1,0,0,1,0,0,0,1
1,89,4.0,strong beer,4605,1,0,0,1,1,0,0,1
1,7,2.0,strong beer,9467,0,0,0,1,1,0,0,1
1,86,4.0,strong beer,223,1,1,0,0,1,0,0,1
1,64,3.0,cola,8099,0,0,0,1,0,0,0,1
1,42,1.0,fanta,1160,0,0,0,1,0,0,0,1
0,95,4.0,bugbeer,3321,1,1,0,0,1,0,1,0
0,54,2.0,fanta,31,1,0,1,0,0,1,0,0
0,64,0.0,strong beer,8879,1,1,0,0,1,0,0,1
0,72,3.0,water,1988,0,0,0,1,0,0,0,1
0,42,0.0,bugbeer,4879,1,1,0,0,1,0,1,0
0,55,4.0,cola,4386,0,0,0,1,0,0,1,0
1,95,0.0,water,4529,1,0,1,0,0,0,0,1
1,94,4.0,strong beer,9452,0,0,0,1,1,1,0,0
0,99,0.0,cola,562,1,1,0,0,0,1,0,0
0,84,0.0,strong beer,9249,1,0,0,1,1,1,0,0
0,97,5.0,fanta,8872,0,1,0,0,0,0,0,1
1,74,3.0,water,5352,0,0,0,1,0,0,1,0
0,87,1.0,bugbeer,9201,1,1,0,0,1,0,0,1
1,77,4.0,fanta,3619,1,0,1,0,0,0,0,1
0,79,0.0,bugbeer,2814,0,0,0,1,1,1,0,0
0,34,3.0,water,4853,0,1,0,0,0,1,0,0
0,35,3.0,bugbeer,1379,1,1,0,0,1,0,0,1
1,4,4.0,water,7259,1,0,0,1,0,0,0,1
1,7,5.0,bugbeer,4854,1,1,0,0,1,0,1,0
1,6,1.0,water,6746,1,1,0,0,0,0,0,1
0,4,3.0,water,5834,0,0,0,1,0,0,1,0
1,2,1.0,cola,6826,1,1,0,0,0,0,1,0
0,42,4.0,beerbeer,3698,1,1,0,0,1,1,0,0
1,27,0.0,fanta,4673,1,1,0,0,0,1,0,0
0,96,2.0,water,426,0,0,0,1,0,1,0,0
0,50,3.0,beerbeer,4204,0,0,0,1,1,0,1,0
1,67,0.0,bugbeer,7754,1,0,0,1,1,1,0,0
1,20,0.0,strong beer,1919,1,0,0,1,1,0,1,0
0,42,0.0,fanta,6891,0,1,0,0,0,0,0,1
0,70,0.0,strong beer,4626,1,0,0,1,1,0,0,1
0,96,2.0,strong beer,7376,0,1,0,0,1,1,0,0
0,42,2.0,beerbeer,5432,0,1,0,0,1,0,1,0
0,94,2.47,fanta,3715,0,0,0,1,0,1,0,0
0,80,1.0,bugbeer,2203,1,1,0,0,1,0,0,1
1,61,2.47,water,5479,0,1,0,0,0,1,0,0
0,53,2.47,fanta,4113,1,1,0,0,0,0,0,1
0,55,5.0,water,1126,0,1,0,0,0,1,0,0
0,52,0.0,beerbeer,8167,0,0,0,1,1,1,0,0
1,31,4.0,cola,9486,1,1,0,0,0,0,0,1
1,69,2.0,beerbeer,5954,1,0,0,1,1,0,0,1
0,10,4.0,beerbeer,3274,1,0,0,1,1,0,1,0
0,38,2.0,bugbeer,6488,1,1,0,0,1,1,0,0
1,73,5.0,water,2410,1,0,1,0,0,0,0,1
1,37,5.0,bugbeer,1069,1,0,0,1,1,0,0,1
0,1,5.0,cola,8251,1,0,0,1,0,1,0,0
1,29,5.0,strong beer,9898,1,1,0,0,1,0,1,0
0,84,0.0,fanta,8195,0,0,0,1,0,0,0,1
0,35,2.0,beerbeer,5641,1,0,0,1,1,0,1,0
1,66,3.0,water,6879,0,0,0,1,0,1,0,0
1,20,1.0,bugbeer,9838,0,0,0,1,1,0,1,0
1,77,2.47,fanta,9693,1,0,1,0,0,1,0,0
1,40,2.0,water,7171,0,0,1,0,0,1,0,0
1,80,4.0,cola,4461,1,1,0,0,0,1,0,0
1,45,0.0,cola,3007,0,0,0,1,0,0,1,0
0,16,2.47,cola,145,1,0,0,1,0,0,0,1
0,44,1.0,strong beer,3550,0,1,0,0,1,1,0,0
0,30,1.0,water,4365,1,1,0,0,0,0,1,0
0,38,0.0,beerbeer,9269,1,1,0,0,1,0,0,1
0,86,2.0,bugbeer,7367,1,1,0,0,1,0,0,1
1,89,3.0,strong beer,2920,1,1,0,0,1,0,1,0
1,55,4.0,fanta,297,1,1,0,0,0,0,0,1
0,77,1.0,water,1407,0,0,1,0,0,0,1,0
0,54,4.0,beerbeer,2180,1,0,0,1,1,0,0,1
0,98,2.0,beerbeer,1720,1,0,0,1,1,0,0,1
0,28,0.0,fanta,3886,0,0,1,0,0,0,0,1
1,87,2.0,beerbeer,5297,1,1,0,0,1,0,1,0
0,10,3.0,cola,1464,0,0,1,0,0,1,0,0
0,8,1.0,bugbeer,3204,1,1,0,0,1,1,0,0
1,71,5.0,bugbeer,4098,1,1,0,0,1,1,0,0
1,86,3.0,fanta,4393,1,0,1,0,0,0,1,0
0,85,3.0,bugbeer,4982,1,1,0,0,1,1,0,0
0,13,4.0,water,3170,1,1,0,0,0,0,1,0
0,59,3.0,fanta,2481,0,1,0,0,0,0,0,1
0,83,2.47,water,4743,0,1,0,0,0,1,0,0
1,86,1.0,strong beer,5003,0,0,0,1,1,1,0,0
0,92,3.0,beerbeer,6686,1,1,0,0,1,0,0,1
1,18,1.0,cola,8125,0,1,0,0,0,1,0,0
0,28,0.0,water,125,1,0,1,0,0,1,0,0
0,65,4.0,water,3076,1,1,0,0,0,0,1,0
1,11,0.0,cola,6165,1,0,1,0,0,0,1,0
0,72,2.47,beerbeer,6479,1,1,0,0,1,1,0,0
0,40,3.0,fanta,4740,1,0,0,1,0,0,0,1
1,58,2.0,cola,874,0,0,0,1,0,1,0,0
0,47,2.0,strong beer,8381,0,1,0,0,1,1,0,0
0,8,2.0,fanta,2033,1,1,0,0,0,1,0,0
0,71,3.0,fanta,5323,1,0,1,0,0,0,0,1
0,28,3.0,strong beer,67,1,0,0,1,1,1,0,0
1,98,3.0,cola,5143,1,1,0,0,0,1,0,0
0,16,3.0,strong beer,8305,1,0,0,1,1,1,0,0
0,47,0.0,water,7675,1,0,0,1,0,0,1,0
0,76,2.0,water,6595,1,0,1,0,0,0,0,1
0,29,4.0,cola,3435,1,1,0,0,0,0,1,0
0,18,0.0,strong beer,8613,0,0,0,1,1,0,1,0
1,11,4.0,strong beer,3705,1,1,0,0,1,0,1,0
0,54,2.47,strong beer,5489,0,1,0,0,1,0,1,0
0,21,1.0,beerbeer,3806,1,1,0,0,1,1,0,0
0,70,2.0,beerbeer,9182,0,0,0,1,1,0,1,0
0,58,5.0,fanta,3296,1,0,1,0,0,0,0,1
1,36,4.0,strong beer,6627,0,0,0,1,1,0,1,0
0,80,5.0,cola,1391,1,0,1,0,0,0,1,0
0,47,5.0,strong beer,7683,1,1,0,0,1,0,1,0
1,56,4.0,fanta,5830,1,1,0,0,0,0,1,0
1,25,1.0,water,6111,1,0,0,1,0,1,0,0
1,1,4.0,water,1571,0,1,0,0,0,1,0,0
0,75,4.0,cola,1245,1,1,0,0,0,0,1,0
0,18,0.0,water,4404,0,0,1,0,0,0,1,0
0,85,4.0,fanta,8165,0,0,1,0,0,0,0,1
1,0,3.0,fanta,1436,1,1,0,0,0,0,1,0
1,57,2.0,fanta,8726,1,1,0,0,0,0,1,0
1,72,4.0,water,7968,0,1,0,0,0,0,1,0
0,24,2.0,water,8561,0,0,0,1,0,1,0,0
1,21,3.0,water,7613,1,0,1,0,0,0,0,1
1,30,2.47,bugbeer,1893,0,0,0,1,1,1,0,0
0,1,5.0,bugbeer,6676,0,0,0,1,1,0,0,1
0,67,4.0,beerbeer,2184,1,0,0,1,1,1,0,0
1,40,5.0,water,4922,0,0,0,1,0,1,0,0
1,11,3.0,strong beer,2511,0,1,0,0,1,0,0,1
0,61,3.0,cola,3308,1,0,0,1,0,1,0,0
0,88,4.0,strong beer,5206,1,1,0,0,1,1,0,0
0,28,1.0,beerbeer,9620,0,1,0,0,1,0,0,1
0,43,1.0,cola,8583,1,1,0,0,0,1,0,0
0,37,5.0,fanta,4736,1,1,0,0,0,0,1,0
1,40,2.47,water,1731,0,1,0,0,0,0,0,1
0,78,3.0,fanta,3080,0,1,0,0,0,1,0,0
1,49,2.47,water,6881,1,0,0,1,0,0,1,0
0,72,0.0,water,7255,0,0,0,1,0,0,1,0
0,24,0.0,bugbeer,1763,0,1,0,0,1,1,0,0
0,25,5.0,beerbeer,219,0,0,0,1,1,1,0,0
1,21,0.0,fanta,4732,1,1,0,0,0,0,1,0
0,45,0.0,beerbeer,9729,1,0,0,1,1,0,0,1
1,44,1.0,fanta,8398,0,0,0,1,0,0,0,1
1,21,2.0,strong beer,8859,1,1,0,0,1,1,0,0
0,96,0.0,fanta,8556,1,1,0,0,0,0,1,0
0,83,3.0,water,2445,0,1,0,0,0,0,0,1
0,15,3.0,water,1474,1,0,0,1,0,0,1,0
0,33,1.0,cola,8170,0,1,0,0,0,0,0,1
0,38,2.0,strong beer,7095,0,1,0,0,1,0,0,1
0,56,4.0,fanta,4836,0,0,0,1,0,0,0,1
1,50,0.0,cola,496,1,0,0,1,0,0,1,0
0,1,1.0,fanta,7671,1,1,0,0,0,0,0,1
0,50,3.0,fanta,749,1,0,0,1,0,0,0,1
1,1,0.0,fanta,241,0,1,0,0,0,0,1,0
0,20,4.0,cola,6625,1,0,0,1,0,0,0,1
1,17,2.0,cola,1664,1,1,0,0,0,0,1,0
0,9,0.0,beerbeer,9545,0,0,0,1,1,0,1,0
1,92,4.0,water,2599,0,0,0,1,0,0,0,1
0,0,2.47,water,2459,0,0,1,0,0,0,1,0
1,54,2.0,water,9214,1,0,0,1,0,0,1,0
0,68,5.0,water,7012,1,1,0,0,0,0,0,1
1,52,4.0,water,5782,1,1,0,0,0,1,0,0
1,16,4.0,bugbeer,311,0,0,0,1,1,0,0,1
0,99,0.0,water,7032,0,0,0,1,0,1,0,0
0,31,2.0,beerbeer,9697,1,0,0,1,1,1,0,0
1,14,4.0,water,6777,1,1,0,0,0,1,0,0
0,42,1.0,bugbeer,4278,0,1,0,0,1,0,0,1
1,11,2.0,strong beer,906,1,0,0,1,1,0,1,0
0,25,2.0,bugbeer,1265,0,1,0,0,1,1,0,0
1,62,5.0,bugbeer,8471,1,1,0,0,1,1,0,0
0,19,5.0,strong beer,8758,0,0,0,1,1,0,1,0
0,4,2.0,cola,9240,0,0,0,1,0,0,0,1
1,69,4.0,fanta,5677,1,0,1,0,0,1,0,0
1,69,0.0,strong beer,104,1,0,0,1,1,1,0,0
0,53,3.0,fanta,1009,1,1,0,0,0,0,1,0
0,74,2.0,strong beer,951,1,0,0,1,1,1,0,0
0,26,3.0,beerbeer,1144,1,0,0,1,1,0,0,1
0,100,5.0,bugbeer,8796,1,1,0,0,1,1,0,0
0,15,0.0,strong beer,1336,1,0,0,1,1,1,0,0
0,16,2.0,strong beer,7328,1,0,0,1,1,1,0,0
0,61,4.0,fanta,5749,0,1,0,0,0,1,0,0
1,25,4.0,water,8608,0,0,0,1,0,0,1,0
1,15,2.47,fanta,6370,1,0,0,1,0,1,0,0
1,62,2.0,cola,3089,0,0,0,1,0,1,0,0
1,45,3.0,water,6983,1,1,0,0,0,1,0,0
1,61,5.0,fanta,8694,0,0,0,1,0,0,1,0
0,88,5.0,beerbeer,110,1,1,0,0,1,0,1,0
0,60,2.0,bugbeer,7887,0,0,0,1,1,0,0,1
1,43,2.0,fanta,9685,1,1,0,0,0,1,0,0
0,21,1.0,cola,9418,0,0,1,0,0,0,1,0
0,32,4.0,beerbeer,3305,1,1,0,0,1,0,1,0
0,79,5.0,water,2581,0,0,0,1,0,1,0,0
0,34,0.0,water,9987,1,0,1,0,0,1,0,0
0,63,1.0,cola,189,1,0,1,0,0,0,1,0
1,60,4.0,strong beer,6648,1,1,0,0,1,1,0,0
1,77,2.0,cola,3225,0,0,0,1,0,1,0,0
0,86,5.0,cola,7540,0,1,0,0,0,0,0,1
1,41,1.0,cola,7565,0,0,0,1,0,0,0,1
1,63,3.0,bugbeer,752,0,0,0,1,1,0,0,1
0,68,0.0,bugbeer,3942,0,1,0,0,1,1,0,0
1,9,4.0,water,3493,1,0,1,0,0,0,1,0
1,98,3.0,strong beer,7321,0,0,0,1,1,0,0,1
1,84,5.0,water,8360,1,0,1,0,0,0,1,0
0,40,4.0,strong beer,7871,1,0,0,1,1,0,0,1
1,100,2.0,fanta,999,1,1,0,0,0,0,0,1
0,87,1.0,cola,8946,1,1,0,0,0,1,0,0
0,46,1.0,cola,8449,1,1,0,0,0,1,0,0
0,0,3.0,beerbeer,90,1,1,0,0,1,0,1,0
0,14,1.0,cola,1225,1,0,1,0,0,0,1,0
1,46,1.0,bugbeer,377,0,0,0,1,1,0,1,0
0,30,1.0,water,8412,1,0,0,1,0,0,0,1
0,68,0.0,water,8498,0,1,0,0,0,0,1,0
1,28,5.0,bugbeer,8217,1,1,0,0,1,0,1,0
0,48,1.0,bugbeer,7396,1,1,0,0,1,0,1,0
1,54,1.0,cola,3569,0,0,0,1,0,1,0,0
0,5,2.0,beerbeer,7293,1,0,0,1,1,0,1,0
0,52,0.0,strong beer,1229,0,1,0,0,1,1,0,0
1,100,0.0,cola,4481,1,1,0,0,0,0,1,0
1,51,4.0,beerbeer,2266,1,0,0,1,1,1,0,0
1,46,1.0,water,1343,1,0,1,0,0,1,0,0
1,42,0.0,strong beer,4804,0,1,0,0,1,0,0,1
0,58,5.0,beerbeer,6902,0,0,0,1,1,1,0,0
1,100,0.0,bugbeer,3340,1,1,0,0,1,1,0,0
0,25,1.0,beerbeer,6599,1,1,0,0,1,0,0,1
0,86,1.0,water,4894,0,0,1,0,0,0,1,0
1,71,2.0,strong beer,4253,1,1,0,0,1,1,0,0
0,29,5.0,fanta,1628,1,0,0,1,0,1,0,0
0,28,1.0,fanta,3078,0,1,0,0,0,0,0,1
0,87,4.0,fanta,7175,1,0,1,0,0,0,0,1
1,49,5.0,bugbeer,417,1,1,0,0,1,0,0,1
0,47,2.47,cola,945,0,1,0,0,0,0,0,1
0,81,2.47,strong beer,5207,1,1,0,0,1,1,0,0
0,20,1.0,cola,1736,1,0,0,1,0,0,0,1
0,78,0.0,strong beer,9304,1,1,0,0,1,0,1,0
0,19,1.0,cola,5321,1,1,0,0,0,1,0,0
0,9,2.47,fanta,9509,0,0,1,0,0,1,0,0
0,23,0.0,water,7237,1,0,0,1,0,1,0,0
0,39,3.0,cola,4561,0,0,0,1,0,0,1,0
0,10,4.0,strong beer,1107,1,0,0,1,1,1,0,0
0,62,4.0,strong beer,2397,1,0,0,1,1,1,0,0
0,35,2.0,beerbeer,6667,0,1,0,0,1,0,0,1
0,41,1.0,fanta,549,0,1,0,0,0,1,0,0
0,41,5.0,fanta,9271,1,1,0,0,0,0,0,1
0,35,0.0,strong beer,4782,1,0,0,1,1,1,0,0
1,41,2.0,cola,2105,0,0,1,0,0,1,0,0
0,8,5.0,strong beer,3526,0,0,0,1,1,0,1,0
0,39,2.0,fanta,6188,0,0,0,1,0,1,0,0
0,100,1.0,bugbeer,5899,0,0,0,1,1,0,1,0
0,19,5.0,water,4773,1,0,1,0,0,0,0,1
1,46,3.0,water,8216,1,0,0,1,0,1,0,0
0,0,4.0,water,5915,1,1,0,0,0,0,0,1
1,41,2.0,cola,8802,1,0,0,1,0,0,1,0
0,25,2.0,bugbeer,215,1,0,0,1,1,0,0,1
1,92,5.0,bugbeer,1119,1,1,0,0,1,1,0,0
0,14,2.0,water,2766,0,1,0,0,0,1,0,0
1,96,2.47,fanta,2507,0,0,0,1,0,0,0,1
0,25,1.0,cola,3997,1,1,0,0,0,0,0,1
0,17,4.0,beerbeer,735,1,1,0,0,1,0,0,1
0,73,2.0,water,7042,0,0,0,1,0,0,1,0
0,79,0.0,bugbeer,2971,0,1,0,0,1,0,1,0
0,76,4.0,fanta,1106,1,0,0,1,0,1,0,0
1,84,5.0,water,292,1,0,0,1,0,1,0,0
0,42,3.0,cola,6808,1,0,1,0,0,1,0,0
0,95,2.0,water,6700,1,0,1,0,0,1,0,0
0,45,0.0,water,8314,0,0,1,0,0,1,0,0
0,75,2.47,cola,4230,0,0,1,0,0,0,1,0
1,5,0.0,water,2841,0,1,0,0,0,1,0,0
0,43,4.0,water,3586,0,1,0,0,0,0,1,0
1,79,3.0,beerbeer,101,1,1,0,0,1,0,0,1
0,57,2.0,fanta,7189,0,1,0,0,0,0,0,1
0,1,1.0,cola,2579,1,0,1,0,0,0,1,0
0,45,2.0,fanta,7273,0,1,0,0,0,0,1,0
0,65,4.0,water,1358,1,1,0,0,0,0,0,1
1,68,0.0,water,1949,1,0,1,0,0,0,0,1
0,61,0.0,cola,3094,0,1,0,0,0,1,0,0
0,39,1.0,beerbeer,558,0,0,0,1,1,0,0,1
0,4,5.0,cola,2856,0,0,0,1,0,0,1,0
0,6,0.0,strong beer,7642,1,0,0,1,1,1,0,0
0,33,3.0,bugbeer,526,1,0,0,1,1,0,0,1
0,87,1.0,cola,1440,1,1,0,0,0,0,1,0
0,33,2.47,beerbeer,3563,0,1,0,0,1,0,0,1
0,95,3.0,water,4335,1,1,0,0,0,1,0,0
0,35,3.0,strong beer,1475,1,0,0,1,1,0,0,1
0,56,4.0,bugbeer,9438,1,1,0,0,1,0,1,0
0,49,0.0,bugbeer,8228,1,1,0,0,1,0,1,0
0,4,5.0,bugbeer,7582,0,0,0,1,1,1,0,0
1,58,2.0,bugbeer,5503,1,0,0,1,1,1,0,0
0,68,2.47,water,5316,1,0,0,1,0,0,0,1
0,6,2.0,cola,6752,0,1,0,0,0,1,0,0
0,6,0.0,fanta,7710,1,1,0,0,0,0,1,0
1,47,3.0,water,280,1,0,0,1,0,1,0,0
0,32,2.0,cola,2169,1,1,0,0,0,0,0,1
1,47,1.0,fanta,9348,1,1,0,0,0,0,1,0
0,5,0.0,fanta,9560,0,1,0,0,0,0,1,0
0,56,2.0,fanta,1748,1,0,1,0,0,1,0,0
0,40,0.0,strong beer,1171,1,0,0,1,1,1,0,0
0,47,3.0,strong beer,784,1,1,0,0,1,0,0,1
0,12,3.0,bugbeer,3038,0,1,0,0,1,0,0,1
0,36,2.47,cola,4548,1,1,0,0,0,0,0,1
0,12,0.0,bugbeer,6542,1,0,0,1,1,1,0,0
1,31,4.0,water,5575,1,0,1,0,0,0,1,0
0,80,2.0,bugbeer,2679,0,1,0,0,1,0,1,0
0,9,1.0,strong beer,5208,0,1,0,0,1,0,1,0
0,0,1.0,water,5512,1,1,0,0,0,1,0,0
1,40,4.0,cola,662,0,1,0,0,0,0,1,0
0,21,2.47,water,1645,0,1,0,0,0,0,1,0
0,98,4.0,cola,8849,1,0,0,1,0,0,0,1
0,56,2.0,beerbeer,7575,1,0,0,1,1,0,1,0
0,65,2.47,water,8687,1,0,0,1,0,1,0,0
0,39,5.0,bugbeer,2309,1,0,0,1,1,1,0,0
0,53,2.0,cola,3950,0,0,0,1,0,1,0,0
1,7,2.47,cola,7154,1,1,0,0,0,0,0,1
1,83,2.47,water,5943,0,0,1,0,0,0,0,1
0,62,1.0,bugbeer,3509,1,0,0,1,1,0,0,1
1,100,2.0,strong beer,6490,1,1,0,0,1,1,0,0
0,77,5.0,cola,9405,0,1,0,0,0,0,0,1
0,61,4.0,beerbeer,8024,1,1,0,0,1,0,0,1
1,30,5.0,bugbeer,7651,1,0,0,1,1,0,0,1
0,19,2.47,strong beer,9670,1,1,0,0,1,1,0,0
1,45,1.0,fanta,899,1,1,0,0,0,0,1,0
0,43,1.0,beerbeer,4958,1,1,0,0,1,0,1,0
0,72,1.0,fanta,3232,1,0,1,0,0,1,0,0
0,55,1.0,cola,7109,0,1,0,0,0,0,0,1
0,11,4.0,fanta,4008,1,0,1,0,0,0,1,0
1,63,3.0,cola,6286,0,1,0,0,0,1,0,0
0,66,2.0,strong beer,2372,0,1,0,0,1,1,0,0
0,31,5.0,beerbeer,4194,0,0,0,1,1,1,0,0
1,23,2.47,water,9871,0,0,0,1,0,0,1,0
1,89,3.0,cola,620,1,0,1,0,0,0,1,0
1,22,5.0,fanta,6653,1,0,0,1,0,0,1,0
0,93,4.0,fanta,7044,1,0,0,1,0,1,0,0
0,93,3.0,fanta,8897,0,0,0,1,0,0,0,1
1,78,3.0,cola,2723,1,1,0,0,0,1,0,0
0,25,1.0,strong beer,7903,0,1,0,0,1,0,0,1
0,25,4.0,cola,4617,0,1,0,0,0,1,0,0
0,51,1.0,cola,3688,1,0,0,1,0,1,0,0
0,33,3.0,cola,9968,0,0,0,1,0,1,0,0
0,43,3.0,strong beer,865,1,1,0,0,1,0,0,1
0,57,1.0,fanta,4646,0,1,0,0,0,0,0,1
1,47,3.0,water,3733,0,1,0,0,0,0,0,1
0,61,5.0,water,525,1,0,1,0,0,0,0,1
0,80,0.0,cola,2922,0,0,0,1,0,0,0,1
